Время (Алматы);План СО, МВт
06.02.2026 06:00;0.81
06.02.2026 07:00;1.69
06.02.2026 08:00;2.12
06.02.2026 09:00;2.56
06.02.2026 10:00;1.26
06.02.2026 11:00;2.61
06.02.2026 12:00;4.13
06.02.2026 13:00;5.0
06.02.2026 14:00;5.0
06.02.2026 15:00;5.0
06.02.2026 16:00;5.0
06.02.2026 17:00;5.0
06.02.2026 18:00;5.0
06.02.2026 19:00;5.0
06.02.2026 20:00;5.0
06.02.2026 21:00;5.0
06.02.2026 22:00;5.0
06.02.2026 23:00;4.43
07.02.2026 00:00;4.1
07.02.2026 01:00;3.22
07.02.2026 02:00;2.68
07.02.2026 03:00;2.56
07.02.2026 04:00;2.29
07.02.2026 05:00;2.18
